Date;Heure début;Heure fin;Centre de charge;Equipe;Code motif d'arrêt;Libellé motif;Durée (mn)
28/10/2025;10:02;10:45;LA-01 Assemblage;Matin;MA-20;Panne électrique ou capteur;43
28/10/2025;13:46;14:26;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
28/10/2025;14:45;15:03;LA-01 Assemblage;Après-midi;CS-20;Attente outillage;18
28/10/2025;15:26;16:00;LA-01 Assemblage;Après-midi;AP-10;Rupture d'approvisionnement;34
28/10/2025;06:34;07:14;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
28/10/2025;07:45;08:10;LU-02 Usinage;Matin;AP-10;Rupture d'approvisionnement;25
28/10/2025;08:38;09:01;LU-02 Usinage;Matin;MO-20;Accompagnement, formation au poste;23
28/10/2025;09:24;10:15;LU-02 Usinage;Matin;MA-10;Panne mécanique;51
28/10/2025;10:37;11:13;LU-02 Usinage;Matin;CS-10;Changement de série;36
28/10/2025;13:35;14:15;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
28/10/2025;14:51;15:20;LU-02 Usinage;Après-midi;MO-10;Absence non remplacée;29
28/10/2025;15:29;15:43;LU-02 Usinage;Après-midi;LO-20;Saturation aval;14
28/10/2025;16:12;16:49;LU-02 Usinage;Après-midi;MA-30;Défaut automatisme;37
28/10/2025;17:05;17:17;LU-02 Usinage;Après-midi;RG-10;Réglage qualité en cours de série;12
28/10/2025;17:31;17:53;LU-02 Usinage;Après-midi;AP-20;Composant non conforme;22
28/10/2025;21:33;22:13;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
28/10/2025;22:24;22:38;LU-02 Usinage;Nuit;LO-10;Attente cariste, évacuation en-cours;14
28/10/2025;23:11;23:35;LU-02 Usinage;Nuit;MA-20;Panne électrique ou capteur;24
28/10/2025;06:42;07:22;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
28/10/2025;07:40;07:54;LC-03 Conditionnement;Matin;LO-20;Saturation aval;14
28/10/2025;08:21;08:44;LC-03 Conditionnement;Matin;MA-30;Défaut automatisme;23
28/10/2025;09:02;09:12;LC-03 Conditionnement;Matin;RG-10;Réglage qualité en cours de série;10
29/10/2025;06:39;07:19;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
29/10/2025;07:36;08:46;LA-01 Assemblage;Matin;PL-20;Maintenance préventive planifiée;70
29/10/2025;09:20;09:42;LA-01 Assemblage;Matin;LO-10;Attente cariste, évacuation en-cours;22
29/10/2025;10:13;10:53;LA-01 Assemblage;Matin;MA-20;Panne électrique ou capteur;40
29/10/2025;13:34;14:14;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
29/10/2025;14:41;15:29;LA-01 Assemblage;Après-midi;MA-10;Panne mécanique;48
29/10/2025;15:45;16:08;LA-01 Assemblage;Après-midi;CS-10;Changement de série;23
29/10/2025;16:30;16:35;LA-01 Assemblage;Après-midi;RG-20;Micro-arrêts, bourrage;5
29/10/2025;06:50;07:30;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
29/10/2025;07:55;09:06;LU-02 Usinage;Matin;PL-20;Maintenance préventive planifiée;71
29/10/2025;09:32;09:52;LU-02 Usinage;Matin;CS-10;Changement de série;20
29/10/2025;10:00;10:13;LU-02 Usinage;Matin;RG-20;Micro-arrêts, bourrage;13
29/10/2025;10:23;10:59;LU-02 Usinage;Matin;MO-10;Absence non remplacée;36
29/10/2025;11:32;11:41;LU-02 Usinage;Matin;LO-20;Saturation aval;9
29/10/2025;12:09;12:28;LU-02 Usinage;Matin;MA-30;Défaut automatisme;19
29/10/2025;13:55;14:35;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
29/10/2025;15:13;15:20;LU-02 Usinage;Après-midi;RG-10;Réglage qualité en cours de série;7
29/10/2025;15:44;16:09;LU-02 Usinage;Après-midi;AP-20;Composant non conforme;25
29/10/2025;21:34;22:14;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
29/10/2025;22:46;23:19;LU-02 Usinage;Nuit;AP-10;Rupture d'approvisionnement;33
29/10/2025;23:59;00:17;LU-02 Usinage;Nuit;MO-20;Accompagnement, formation au poste;18
29/10/2025;00:32;01:28;LU-02 Usinage;Nuit;MA-10;Panne mécanique;56
29/10/2025;06:34;07:14;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
29/10/2025;07:38;08:50;LC-03 Conditionnement;Matin;PL-20;Maintenance préventive planifiée;72
29/10/2025;09:19;09:36;LC-03 Conditionnement;Matin;AP-20;Composant non conforme;17
29/10/2025;10:06;10:21;LC-03 Conditionnement;Matin;LO-10;Attente cariste, évacuation en-cours;15
29/10/2025;10:32;11:08;LC-03 Conditionnement;Matin;MA-20;Panne électrique ou capteur;36
29/10/2025;11:37;12:02;LC-03 Conditionnement;Matin;CS-20;Attente outillage;25
30/10/2025;06:38;07:18;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
30/10/2025;07:42;08:08;LA-01 Assemblage;Matin;AP-10;Rupture d'approvisionnement;26
30/10/2025;08:35;09:00;LA-01 Assemblage;Matin;MO-20;Accompagnement, formation au poste;25
30/10/2025;09:12;09:37;LA-01 Assemblage;Matin;MA-10;Panne mécanique;25
30/10/2025;13:57;14:37;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
30/10/2025;15:09;15:30;LA-01 Assemblage;Après-midi;MO-10;Absence non remplacée;21
30/10/2025;15:57;16:13;LA-01 Assemblage;Après-midi;LO-20;Saturation aval;16
30/10/2025;16:53;17:26;LA-01 Assemblage;Après-midi;MA-30;Défaut automatisme;33
30/10/2025;18:04;18:13;LA-01 Assemblage;Après-midi;RG-10;Réglage qualité en cours de série;9
30/10/2025;06:52;07:32;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
30/10/2025;07:44;07:58;LU-02 Usinage;Matin;LO-20;Saturation aval;14
30/10/2025;08:11;08:45;LU-02 Usinage;Matin;MA-30;Défaut automatisme;34
30/10/2025;13:34;14:14;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
30/10/2025;14:27;14:50;LU-02 Usinage;Après-midi;MA-20;Panne électrique ou capteur;23
30/10/2025;15:08;15:32;LU-02 Usinage;Après-midi;CS-20;Attente outillage;24
30/10/2025;16:03;16:30;LU-02 Usinage;Après-midi;AP-10;Rupture d'approvisionnement;27
30/10/2025;21:30;22:10;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
30/10/2025;22:30;23:08;LU-02 Usinage;Nuit;CS-10;Changement de série;38
30/10/2025;23:24;23:33;LU-02 Usinage;Nuit;RG-20;Micro-arrêts, bourrage;9
30/10/2025;00:05;00:24;LU-02 Usinage;Nuit;MO-10;Absence non remplacée;19
30/10/2025;01:00;01:13;LU-02 Usinage;Nuit;LO-20;Saturation aval;13
30/10/2025;06:37;07:17;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
30/10/2025;07:33;07:49;LC-03 Conditionnement;Matin;CS-20;Attente outillage;16
30/10/2025;08:04;08:36;LC-03 Conditionnement;Matin;AP-10;Rupture d'approvisionnement;32
30/10/2025;08:52;09:14;LC-03 Conditionnement;Matin;MO-20;Accompagnement, formation au poste;22
30/10/2025;09:43;10:16;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;33
30/10/2025;10:34;11:00;LC-03 Conditionnement;Matin;CS-10;Changement de série;26
31/10/2025;06:53;07:33;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
31/10/2025;08:00;08:38;LA-01 Assemblage;Matin;CS-10;Changement de série;38
31/10/2025;09:10;09:16;LA-01 Assemblage;Matin;RG-20;Micro-arrêts, bourrage;6
31/10/2025;09:33;09:55;LA-01 Assemblage;Matin;MO-10;Absence non remplacée;22
31/10/2025;10:06;10:19;LA-01 Assemblage;Matin;LO-20;Saturation aval;13
31/10/2025;13:57;14:37;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
31/10/2025;14:54;15:02;LA-01 Assemblage;Après-midi;RG-10;Réglage qualité en cours de série;8
31/10/2025;15:22;15:39;LA-01 Assemblage;Après-midi;AP-20;Composant non conforme;17
31/10/2025;16:09;16:31;LA-01 Assemblage;Après-midi;LO-10;Attente cariste, évacuation en-cours;22
31/10/2025;17:09;17:30;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;21
31/10/2025;18:03;18:23;LA-01 Assemblage;Après-midi;CS-20;Attente outillage;20
31/10/2025;06:38;07:18;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
31/10/2025;07:56;08:09;LU-02 Usinage;Matin;AP-20;Composant non conforme;13
31/10/2025;08:30;08:51;LU-02 Usinage;Matin;LO-10;Attente cariste, évacuation en-cours;21
31/10/2025;09:00;09:41;LU-02 Usinage;Matin;MA-20;Panne électrique ou capteur;41
31/10/2025;13:49;14:29;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
31/10/2025;15:08;15:30;LU-02 Usinage;Après-midi;MO-20;Accompagnement, formation au poste;22
31/10/2025;15:40;16:03;LU-02 Usinage;Après-midi;MA-10;Panne mécanique;23
31/10/2025;16:19;16:57;LU-02 Usinage;Après-midi;CS-10;Changement de série;38
31/10/2025;17:13;17:22;LU-02 Usinage;Après-midi;RG-20;Micro-arrêts, bourrage;9
31/10/2025;21:35;22:15;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
31/10/2025;22:26;22:39;LU-02 Usinage;Nuit;LO-20;Saturation aval;13
31/10/2025;23:15;23:41;LU-02 Usinage;Nuit;MA-30;Défaut automatisme;26
31/10/2025;00:09;00:23;LU-02 Usinage;Nuit;RG-10;Réglage qualité en cours de série;14
31/10/2025;00:53;01:13;LU-02 Usinage;Nuit;AP-20;Composant non conforme;20
31/10/2025;01:53;02:16;LU-02 Usinage;Nuit;LO-10;Attente cariste, évacuation en-cours;23
31/10/2025;06:53;07:33;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
31/10/2025;07:52;08:46;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;54
31/10/2025;09:19;09:44;LC-03 Conditionnement;Matin;CS-10;Changement de série;25
03/11/2025;06:46;07:26;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
03/11/2025;08:03;08:16;LA-01 Assemblage;Matin;LO-20;Saturation aval;13
03/11/2025;08:56;09:32;LA-01 Assemblage;Matin;MA-30;Défaut automatisme;36
03/11/2025;09:59;10:08;LA-01 Assemblage;Matin;RG-10;Réglage qualité en cours de série;9
03/11/2025;10:23;10:40;LA-01 Assemblage;Matin;AP-20;Composant non conforme;17
03/11/2025;10:48;11:00;LA-01 Assemblage;Matin;LO-10;Attente cariste, évacuation en-cours;12
03/11/2025;13:57;14:37;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
03/11/2025;14:47;15:25;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;38
03/11/2025;15:54;16:17;LA-01 Assemblage;Après-midi;CS-20;Attente outillage;23
03/11/2025;07:00;07:40;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
03/11/2025;07:49;08:20;LU-02 Usinage;Matin;CS-20;Attente outillage;31
03/11/2025;08:46;09:08;LU-02 Usinage;Matin;AP-10;Rupture d'approvisionnement;22
03/11/2025;09:31;09:57;LU-02 Usinage;Matin;MO-20;Accompagnement, formation au poste;26
03/11/2025;10:34;11:28;LU-02 Usinage;Matin;MA-10;Panne mécanique;54
03/11/2025;13:45;14:25;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
03/11/2025;14:33;14:38;LU-02 Usinage;Après-midi;RG-20;Micro-arrêts, bourrage;5
03/11/2025;15:03;15:35;LU-02 Usinage;Après-midi;MO-10;Absence non remplacée;32
03/11/2025;15:43;16:00;LU-02 Usinage;Après-midi;LO-20;Saturation aval;17
03/11/2025;16:35;17:03;LU-02 Usinage;Après-midi;MA-30;Défaut automatisme;28
03/11/2025;17:28;17:45;LU-02 Usinage;Après-midi;RG-10;Réglage qualité en cours de série;17
03/11/2025;21:36;22:16;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
03/11/2025;22:55;23:17;LU-02 Usinage;Nuit;AP-20;Composant non conforme;22
03/11/2025;23:40;00:01;LU-02 Usinage;Nuit;LO-10;Attente cariste, évacuation en-cours;21
03/11/2025;06:52;07:32;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
03/11/2025;07:53;08:14;LC-03 Conditionnement;Matin;MO-10;Absence non remplacée;21
03/11/2025;08:39;08:49;LC-03 Conditionnement;Matin;LO-20;Saturation aval;10
03/11/2025;09:23;10:00;LC-03 Conditionnement;Matin;MA-30;Défaut automatisme;37
04/11/2025;06:46;07:26;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
04/11/2025;08:03;08:26;LA-01 Assemblage;Matin;AP-20;Composant non conforme;23
04/11/2025;09:01;09:19;LA-01 Assemblage;Matin;LO-10;Attente cariste, évacuation en-cours;18
04/11/2025;13:35;14:15;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
04/11/2025;14:35;14:52;LA-01 Assemblage;Après-midi;MO-20;Accompagnement, formation au poste;17
04/11/2025;15:25;16:08;LA-01 Assemblage;Après-midi;MA-10;Panne mécanique;43
04/11/2025;16:30;16:54;LA-01 Assemblage;Après-midi;CS-10;Changement de série;24
04/11/2025;06:48;07:28;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
04/11/2025;07:58;08:29;LU-02 Usinage;Matin;MA-10;Panne mécanique;31
04/11/2025;08:56;09:35;LU-02 Usinage;Matin;CS-10;Changement de série;39
04/11/2025;10:11;10:18;LU-02 Usinage;Matin;RG-20;Micro-arrêts, bourrage;7
04/11/2025;10:43;11:12;LU-02 Usinage;Matin;MO-10;Absence non remplacée;29
04/11/2025;11:32;11:42;LU-02 Usinage;Matin;LO-20;Saturation aval;10
04/11/2025;13:43;14:23;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
04/11/2025;14:32;14:53;LU-02 Usinage;Après-midi;MA-30;Défaut automatisme;21
04/11/2025;15:27;15:37;LU-02 Usinage;Après-midi;RG-10;Réglage qualité en cours de série;10
04/11/2025;21:55;22:35;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
04/11/2025;23:08;23:31;LU-02 Usinage;Nuit;CS-20;Attente outillage;23
04/11/2025;23:59;00:14;LU-02 Usinage;Nuit;AP-10;Rupture d'approvisionnement;15
04/11/2025;00:52;01:08;LU-02 Usinage;Nuit;MO-20;Accompagnement, formation au poste;16
04/11/2025;06:56;07:36;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
04/11/2025;08:04;08:17;LC-03 Conditionnement;Matin;RG-10;Réglage qualité en cours de série;13
04/11/2025;08:52;09:21;LC-03 Conditionnement;Matin;AP-20;Composant non conforme;29
04/11/2025;09:46;10:05;LC-03 Conditionnement;Matin;LO-10;Attente cariste, évacuation en-cours;19
04/11/2025;10:24;10:49;LC-03 Conditionnement;Matin;MA-20;Panne électrique ou capteur;25
05/11/2025;06:49;07:29;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
05/11/2025;07:49;08:03;LA-01 Assemblage;Matin;CS-20;Attente outillage;14
05/11/2025;08:36;08:52;LA-01 Assemblage;Matin;AP-10;Rupture d'approvisionnement;16
05/11/2025;09:30;09:53;LA-01 Assemblage;Matin;MO-20;Accompagnement, formation au poste;23
05/11/2025;14:00;14:40;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
05/11/2025;14:49;14:59;LA-01 Assemblage;Après-midi;RG-20;Micro-arrêts, bourrage;10
05/11/2025;15:32;15:59;LA-01 Assemblage;Après-midi;MO-10;Absence non remplacée;27
05/11/2025;16:21;16:39;LA-01 Assemblage;Après-midi;LO-20;Saturation aval;18
05/11/2025;17:06;17:38;LA-01 Assemblage;Après-midi;MA-30;Défaut automatisme;32
05/11/2025;06:58;07:38;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
05/11/2025;08:05;08:41;LU-02 Usinage;Matin;MO-10;Absence non remplacée;36
05/11/2025;09:17;09:28;LU-02 Usinage;Matin;LO-20;Saturation aval;11
05/11/2025;13:42;14:22;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
05/11/2025;15:01;15:19;LU-02 Usinage;Après-midi;LO-10;Attente cariste, évacuation en-cours;18
05/11/2025;15:51;16:09;LU-02 Usinage;Après-midi;MA-20;Panne électrique ou capteur;18
05/11/2025;16:37;16:50;LU-02 Usinage;Après-midi;CS-20;Attente outillage;13
05/11/2025;21:40;22:20;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
05/11/2025;22:49;23:14;LU-02 Usinage;Nuit;MA-10;Panne mécanique;25
05/11/2025;23:40;23:57;LU-02 Usinage;Nuit;CS-10;Changement de série;17
05/11/2025;00:32;00:38;LU-02 Usinage;Nuit;RG-20;Micro-arrêts, bourrage;6
05/11/2025;01:08;01:39;LU-02 Usinage;Nuit;MO-10;Absence non remplacée;31
05/11/2025;06:46;07:26;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
05/11/2025;07:58;08:28;LC-03 Conditionnement;Matin;MA-20;Panne électrique ou capteur;30
05/11/2025;08:59;09:15;LC-03 Conditionnement;Matin;CS-20;Attente outillage;16
05/11/2025;09:30;10:04;LC-03 Conditionnement;Matin;AP-10;Rupture d'approvisionnement;34
05/11/2025;10:26;10:48;LC-03 Conditionnement;Matin;MO-20;Accompagnement, formation au poste;22
05/11/2025;11:27;12:08;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;41
06/11/2025;06:50;07:30;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
06/11/2025;07:46;08:48;LA-01 Assemblage;Matin;PL-20;Maintenance préventive planifiée;62
06/11/2025;09:03;09:58;LA-01 Assemblage;Matin;MA-10;Panne mécanique;55
06/11/2025;10:12;10:28;LA-01 Assemblage;Matin;CS-10;Changement de série;16
06/11/2025;10:45;10:55;LA-01 Assemblage;Matin;RG-20;Micro-arrêts, bourrage;10
06/11/2025;11:33;12:03;LA-01 Assemblage;Matin;MO-10;Absence non remplacée;30
06/11/2025;13:58;14:38;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
06/11/2025;15:11;15:48;LA-01 Assemblage;Après-midi;MA-30;Défaut automatisme;37
06/11/2025;15:56;16:05;LA-01 Assemblage;Après-midi;RG-10;Réglage qualité en cours de série;9
06/11/2025;16:38;17:06;LA-01 Assemblage;Après-midi;AP-20;Composant non conforme;28
06/11/2025;17:22;17:45;LA-01 Assemblage;Après-midi;LO-10;Attente cariste, évacuation en-cours;23
06/11/2025;18:23;18:41;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;18
06/11/2025;06:38;07:18;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
06/11/2025;07:44;08:47;LU-02 Usinage;Matin;PL-20;Maintenance préventive planifiée;63
06/11/2025;09:22;09:37;LU-02 Usinage;Matin;RG-10;Réglage qualité en cours de série;15
06/11/2025;09:45;10:03;LU-02 Usinage;Matin;AP-20;Composant non conforme;18
06/11/2025;10:22;10:42;LU-02 Usinage;Matin;LO-10;Attente cariste, évacuation en-cours;20
06/11/2025;13:38;14:18;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
06/11/2025;14:40;14:56;LU-02 Usinage;Après-midi;AP-10;Rupture d'approvisionnement;16
06/11/2025;15:11;15:22;LU-02 Usinage;Après-midi;MO-20;Accompagnement, formation au poste;11
06/11/2025;15:53;16:24;LU-02 Usinage;Après-midi;MA-10;Panne mécanique;31
06/11/2025;16:48;17:05;LU-02 Usinage;Après-midi;CS-10;Changement de série;17
06/11/2025;21:53;22:33;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
06/11/2025;22:46;23:20;LU-02 Usinage;Nuit;MO-10;Absence non remplacée;34
06/11/2025;00:00;00:14;LU-02 Usinage;Nuit;LO-20;Saturation aval;14
06/11/2025;00:47;01:10;LU-02 Usinage;Nuit;MA-30;Défaut automatisme;23
06/11/2025;01:36;01:46;LU-02 Usinage;Nuit;RG-10;Réglage qualité en cours de série;10
06/11/2025;02:16;02:40;LU-02 Usinage;Nuit;AP-20;Composant non conforme;24
06/11/2025;06:46;07:26;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
06/11/2025;07:48;08:52;LC-03 Conditionnement;Matin;PL-20;Maintenance préventive planifiée;64
06/11/2025;09:04;09:20;LC-03 Conditionnement;Matin;MO-20;Accompagnement, formation au poste;16
06/11/2025;09:52;10:39;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;47
07/11/2025;06:37;07:17;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
07/11/2025;07:44;08:29;LA-01 Assemblage;Matin;PL-30;Réunion, formation, audit;45
07/11/2025;09:01;09:32;LA-01 Assemblage;Matin;MO-10;Absence non remplacée;31
07/11/2025;09:47;10:05;LA-01 Assemblage;Matin;LO-20;Saturation aval;18
07/11/2025;10:45;11:14;LA-01 Assemblage;Matin;MA-30;Défaut automatisme;29
07/11/2025;11:50;11:58;LA-01 Assemblage;Matin;RG-10;Réglage qualité en cours de série;8
07/11/2025;12:30;12:54;LA-01 Assemblage;Matin;AP-20;Composant non conforme;24
07/11/2025;13:45;14:25;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
07/11/2025;14:50;15:06;LA-01 Assemblage;Après-midi;LO-10;Attente cariste, évacuation en-cours;16
07/11/2025;15:19;15:45;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;26
07/11/2025;06:49;07:29;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
07/11/2025;08:08;08:53;LU-02 Usinage;Matin;PL-30;Réunion, formation, audit;45
07/11/2025;09:01;09:30;LU-02 Usinage;Matin;MA-20;Panne électrique ou capteur;29
07/11/2025;09:44;10:10;LU-02 Usinage;Matin;CS-20;Attente outillage;26
07/11/2025;10:45;11:11;LU-02 Usinage;Matin;AP-10;Rupture d'approvisionnement;26
07/11/2025;11:42;11:53;LU-02 Usinage;Matin;MO-20;Accompagnement, formation au poste;11
07/11/2025;13:41;14:21;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
07/11/2025;15:00;15:39;LU-02 Usinage;Après-midi;CS-10;Changement de série;39
07/11/2025;15:56;16:03;LU-02 Usinage;Après-midi;RG-20;Micro-arrêts, bourrage;7
07/11/2025;16:23;16:54;LU-02 Usinage;Après-midi;MO-10;Absence non remplacée;31
07/11/2025;17:26;17:44;LU-02 Usinage;Après-midi;LO-20;Saturation aval;18
07/11/2025;17:52;18:15;LU-02 Usinage;Après-midi;MA-30;Défaut automatisme;23
07/11/2025;21:53;22:33;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
07/11/2025;23:03;23:15;LU-02 Usinage;Nuit;RG-10;Réglage qualité en cours de série;12
07/11/2025;23:35;00:04;LU-02 Usinage;Nuit;AP-20;Composant non conforme;29
07/11/2025;06:55;07:35;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
07/11/2025;08:08;08:53;LC-03 Conditionnement;Matin;PL-30;Réunion, formation, audit;45
07/11/2025;09:29;09:36;LC-03 Conditionnement;Matin;RG-20;Micro-arrêts, bourrage;7
07/11/2025;10:12;10:37;LC-03 Conditionnement;Matin;MO-10;Absence non remplacée;25
07/11/2025;10:45;11:03;LC-03 Conditionnement;Matin;LO-20;Saturation aval;18
10/11/2025;06:31;07:11;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
10/11/2025;07:23;07:31;LA-01 Assemblage;Matin;RG-10;Réglage qualité en cours de série;8
10/11/2025;08:01;08:20;LA-01 Assemblage;Matin;AP-20;Composant non conforme;19
10/11/2025;13:54;14:34;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
10/11/2025;15:14;15:46;LA-01 Assemblage;Après-midi;AP-10;Rupture d'approvisionnement;32
10/11/2025;15:55;16:15;LA-01 Assemblage;Après-midi;MO-20;Accompagnement, formation au poste;20
10/11/2025;16:33;17:28;LA-01 Assemblage;Après-midi;MA-10;Panne mécanique;55
10/11/2025;06:49;07:29;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
10/11/2025;08:03;08:12;LU-02 Usinage;Matin;MO-20;Accompagnement, formation au poste;9
10/11/2025;08:44;09:36;LU-02 Usinage;Matin;MA-10;Panne mécanique;52
10/11/2025;10:16;10:42;LU-02 Usinage;Matin;CS-10;Changement de série;26
10/11/2025;10:56;11:01;LU-02 Usinage;Matin;RG-20;Micro-arrêts, bourrage;5
10/11/2025;11:38;11:59;LU-02 Usinage;Matin;MO-10;Absence non remplacée;21
10/11/2025;13:40;14:20;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
10/11/2025;14:41;14:53;LU-02 Usinage;Après-midi;LO-20;Saturation aval;12
10/11/2025;15:27;16:05;LU-02 Usinage;Après-midi;MA-30;Défaut automatisme;38
10/11/2025;21:57;22:37;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
10/11/2025;22:46;23:09;LU-02 Usinage;Nuit;MA-20;Panne électrique ou capteur;23
10/11/2025;23:24;23:52;LU-02 Usinage;Nuit;CS-20;Attente outillage;28
10/11/2025;00:00;00:29;LU-02 Usinage;Nuit;AP-10;Rupture d'approvisionnement;29
10/11/2025;06:41;07:21;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
10/11/2025;07:47;08:09;LC-03 Conditionnement;Matin;MA-30;Défaut automatisme;22
10/11/2025;08:43;08:55;LC-03 Conditionnement;Matin;RG-10;Réglage qualité en cours de série;12
10/11/2025;09:03;09:19;LC-03 Conditionnement;Matin;AP-20;Composant non conforme;16
10/11/2025;09:47;10:06;LC-03 Conditionnement;Matin;LO-10;Attente cariste, évacuation en-cours;19
12/11/2025;06:30;07:10;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
12/11/2025;07:42;08:19;LA-01 Assemblage;Matin;MA-20;Panne électrique ou capteur;37
12/11/2025;08:37;08:49;LA-01 Assemblage;Matin;CS-20;Attente outillage;12
12/11/2025;09:21;09:41;LA-01 Assemblage;Matin;AP-10;Rupture d'approvisionnement;20
12/11/2025;13:32;14:12;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
12/11/2025;14:20;14:49;LA-01 Assemblage;Après-midi;CS-10;Changement de série;29
12/11/2025;15:19;15:27;LA-01 Assemblage;Après-midi;RG-20;Micro-arrêts, bourrage;8
12/11/2025;15:54;16:12;LA-01 Assemblage;Après-midi;MO-10;Absence non remplacée;18
12/11/2025;16:33;16:53;LA-01 Assemblage;Après-midi;LO-20;Saturation aval;20
12/11/2025;06:58;07:38;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
12/11/2025;07:54;08:05;LU-02 Usinage;Matin;RG-20;Micro-arrêts, bourrage;11
12/11/2025;08:39;09:07;LU-02 Usinage;Matin;MO-10;Absence non remplacée;28
12/11/2025;13:29;14:09;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
12/11/2025;14:19;14:43;LU-02 Usinage;Après-midi;AP-20;Composant non conforme;24
12/11/2025;14:58;15:06;LU-02 Usinage;Après-midi;LO-10;Attente cariste, évacuation en-cours;8
12/11/2025;15:20;16:02;LU-02 Usinage;Après-midi;MA-20;Panne électrique ou capteur;42
12/11/2025;21:48;22:28;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
